broker,size_bytes,target_rate,sent,received,loss_pct,avg_latency_ms,p95_latency_ms,throughput
redis,128,10000,2368,2368,0.0,10.444851642524874,42.24764108657838,473.6
redis,128,50000,3800,3800,0.0,1.6238419633162648,5.146229267120354,760.0
redis,128,100000,2286,2286,0.0,649.1713067052245,891.5088176727295,457.2
redis,1024,10000,3197,3197,0.0,1.57996464939016,2.2485733032226562,639.4
redis,1024,50000,6834,6834,0.0,4.391081192914178,6.7358970642089835,1366.8
redis,1024,100000,7073,7073,0.0,4.037914292303015,6.460380554199218,1414.6
redis,10240,10000,5093,5093,0.0,1.0228370510710263,1.4155864715576167,1018.6
redis,10240,50000,4863,4863,0.0,1.0709716487808432,1.587748527526855,972.6
redis,10240,100000,4753,4753,0.0,1.2120929688321849,1.9879341125488277,950.6
redis,102400,10000,2434,2434,0.0,70.91406426081035,131.34106397628784,486.8
redis,102400,50000,2508,2508,0.0,77.0372904278635,145.67010402679446,501.6
redis,102400,100000,2547,2547,0.0,55.27990623507071,96.74839973449706,509.4
rabbitmq,128,10000,40417,40417,0.0,793.2846284435897,1064.4944667816162,8083.4
rabbitmq,128,50000,39035,39035,0.0,6.468553196166898,20.237135887145914,7807.0
rabbitmq,128,100000,39337,39337,0.0,6.041691487929537,13.896465301513658,7867.4
rabbitmq,1024,10000,38843,38843,0.0,500.39997903804067,701.9976377487183,7768.6
rabbitmq,1024,50000,38233,38233,0.0,678.0207917669886,961.3102912902832,7646.6
rabbitmq,1024,100000,35655,35655,0.0,796.1471801953602,1123.032808303833,7131.0
rabbitmq,10240,10000,17287,17287,0.0,17.789978464377818,54.25951480865479,3457.4
rabbitmq,10240,50000,22003,22003,0.0,1887.276564414613,3013.2230520248413,4400.6
rabbitmq,10240,100000,26895,20844,22.498605688789738,2474.9224748933552,3407.0594787597656,4168.8
rabbitmq,102400,10000,4624,4624,0.0,22.12044081060944,33.05248022079467,924.8
rabbitmq,102400,50000,4625,4625,0.0,59.288263269372884,98.83055686950684,925.0
rabbitmq,102400,100000,4604,4604,0.0,22.221181208314736,35.935854911804185,920.8
